passage,question,answer,mutation_change,answerable,answer_type,gpt5_answer,gpt5_correct,llama_answer,llama_accuracy,gpt_old_answer,gpt_old_accuracy
"Ffonoleg (neu seinyddiaeth) yw'r gangen o ieithyddiaeth sy'n astudio systemau seiniau mewn iaith a sut mae iaith yn defnyddio seiniau i gyfleu gwahaniaethau mewn ystyr. Mae ffonoleg yn ymwneud â seiniau fel unedau y tu fewn i system ieithyddol, tra bod seineg yn ymwneud â disgrifiad a dadansoddiad manwl o'r seiniau ei hunain heb ystyried eu lle o fewn system ieithyddol.
Uned sylfaenol ffonoleg yw'r ffonem, yr uned leiaf i gyfleu gwahaniaethau ystyr mewn iaith benodol. Un gorchwyl pwysig i ffonolegwyr sy'n astudio iaith benodol yw pennu beth yw ffonemau'r iaith honno, disgrifio eu dosbarthiad a sut maen nhw'n effeithio ar ei gilydd.",Beth yw'r uned leiaf sy'n cyfleu gwahaniaethau ystyr mewn iaith benodol?,ffonem,1,1,noun_phrase,ffonem,1,Ffonem.,1,Ffonem,1
"Ffonoleg (neu seinyddiaeth) yw'r gangen o ieithyddiaeth sy'n astudio systemau seiniau mewn iaith a sut mae iaith yn defnyddio seiniau i gyfleu gwahaniaethau mewn ystyr. Mae ffonoleg yn ymwneud â seiniau fel unedau y tu fewn i system ieithyddol, tra bod seineg yn ymwneud â disgrifiad a dadansoddiad manwl o'r seiniau ei hunain heb ystyried eu lle o fewn system ieithyddol.
Uned sylfaenol ffonoleg yw'r ffonem, yr uned leiaf i gyfleu gwahaniaethau ystyr mewn iaith benodol. Un gorchwyl pwysig i ffonolegwyr sy'n astudio iaith benodol yw pennu beth yw ffonemau'r iaith honno, disgrifio eu dosbarthiad a sut maen nhw'n effeithio ar ei gilydd.",Cangen o ieithyddiaeth yw ffonoleg. Gwir neu gau?,gwir,1,1,true_false,Gwir,1,GWIR.,1,Gwir,1
"Ffonoleg (neu seinyddiaeth) yw'r gangen o ieithyddiaeth sy'n astudio systemau seiniau mewn iaith a sut mae iaith yn defnyddio seiniau i gyfleu gwahaniaethau mewn ystyr. Mae ffonoleg yn ymwneud â seiniau fel unedau y tu fewn i system ieithyddol, tra bod seineg yn ymwneud â disgrifiad a dadansoddiad manwl o'r seiniau ei hunain heb ystyried eu lle o fewn system ieithyddol.
Uned sylfaenol ffonoleg yw'r ffonem, yr uned leiaf i gyfleu gwahaniaethau ystyr mewn iaith benodol. Un gorchwyl pwysig i ffonolegwyr sy'n astudio iaith benodol yw pennu beth yw ffonemau'r iaith honno, disgrifio eu dosbarthiad a sut maen nhw'n effeithio ar ei gilydd.",Ble mae ffonolegwyr yn astudio?,DIM YN Y DARN TESTUN,0,0,none,iaith benodol,0,Y tu fewn i systemau ieithyddol.,0,DIM YN Y DARN TESTUN,1
"Ffonoleg (neu seinyddiaeth) yw'r gangen o ieithyddiaeth sy'n astudio systemau seiniau mewn iaith a sut mae iaith yn defnyddio seiniau i gyfleu gwahaniaethau mewn ystyr. Mae ffonoleg yn ymwneud â seiniau fel unedau y tu fewn i system ieithyddol, tra bod seineg yn ymwneud â disgrifiad a dadansoddiad manwl o'r seiniau ei hunain heb ystyried eu lle o fewn system ieithyddol.
Uned sylfaenol ffonoleg yw'r ffonem, yr uned leiaf i gyfleu gwahaniaethau ystyr mewn iaith benodol. Un gorchwyl pwysig i ffonolegwyr sy'n astudio iaith benodol yw pennu beth yw ffonemau'r iaith honno, disgrifio eu dosbarthiad a sut maen nhw'n effeithio ar ei gilydd.",Ydy seineg yn ystyried lleoliad seiniau o fewn system ieithyddol? ,DIM YN Y DARN TESTUN,0,0,none,Na,0,Nac ydy.,0,DIM YN Y DARN TESTUN,1
"Ffonoleg (neu seinyddiaeth) yw'r gangen o ieithyddiaeth sy'n astudio systemau seiniau mewn iaith a sut mae iaith yn defnyddio seiniau i gyfleu gwahaniaethau mewn ystyr. Mae ffonoleg yn ymwneud â seiniau fel unedau y tu fewn i system ieithyddol, tra bod seineg yn ymwneud â disgrifiad a dadansoddiad manwl o'r seiniau ei hunain heb ystyried eu lle o fewn system ieithyddol.
Uned sylfaenol ffonoleg yw'r ffonem, yr uned leiaf i gyfleu gwahaniaethau ystyr mewn iaith benodol. Un gorchwyl pwysig i ffonolegwyr sy'n astudio iaith benodol yw pennu beth yw ffonemau'r iaith honno, disgrifio eu dosbarthiad a sut maen nhw'n effeithio ar ei gilydd.",Pwy yw'r ffonolegwr enwocaf?,DIM YN Y DARN TESTUN,0,0,none,DIM YN Y DARN TESTUN,1,Philip Sapir,0,DIM YN Y DARN TESTUN,1
"Un or chwaraeon cyswllt llawn ydy rygbi'r undeb. Math o bêl-droed neu gnapan ydyw a ddechreuodd yn Lloegr ar ddechrau'r 19eg ganrif. Un o reolau rygbi yw bod hawl rhedeg gyda'r bêl yn eich dwylo. Chwaraeir y gêm gan ddefnyddio pêl hirgrwn, ar ddarn laswellt gan amlaf sydd yn 100m o hyd a 70m o led. Ar bob pen, ceir dwy gôl siâp y lythyren H.
Dywedir yn aml mai William Webb Ellis a grëodd y gêm o redeg tra'n dal y bêl ym 1823 yn Ysgol Rugby pan dywedir iddo ddal y bêl tra'n chwarae pêl-droed gan redeg at gôl y gwrthwynebwyr. ",Pwy crëodd y gêm o redeg tra'n dal y bêl?,William Webb Ellis,1,1,person,William Webb Ellis,1,William Webb Ellis,1,William Webb Ellis,1
"Un or chwaraeon cyswllt llawn ydy rygbi'r undeb. Math o bêl-droed neu gnapan ydyw a ddechreuodd yn Lloegr ar ddechrau'r 19eg ganrif. Un o reolau rygbi yw bod hawl rhedeg gyda'r bêl yn eich dwylo. Chwaraeir y gêm gan ddefnyddio pêl hirgrwn, ar ddarn laswellt gan amlaf sydd yn 100m o hyd a 70m o led. Ar bob pen, ceir dwy gôl siâp y lythyren H.
Dywedir yn aml mai William Webb Ellis a grëodd y gêm o redeg tra'n dal y bêl ym 1823 yn Ysgol Rugby pan dywedir iddo ddal y bêl tra'n chwarae pêl-droed gan redeg at gôl y gwrthwynebwyr. ",Pa lythyren yw siâp y gôl?,H,0,1,noun_phrase,H,1,H,1,H,1
"Un or chwaraeon cyswllt llawn ydy rygbi'r undeb. Math o bêl-droed neu gnapan ydyw a ddechreuodd yn Lloegr ar ddechrau'r 19eg ganrif. Un o reolau rygbi yw bod hawl rhedeg gyda'r bêl yn eich dwylo. Chwaraeir y gêm gan ddefnyddio pêl hirgrwn, ar ddarn laswellt gan amlaf sydd yn 100m o hyd a 70m o led. Ar bob pen, ceir dwy gôl siâp y lythyren H.
Dywedir yn aml mai William Webb Ellis a grëodd y gêm o redeg tra'n dal y bêl ym 1823 yn Ysgol Rugby pan dywedir iddo ddal y bêl tra'n chwarae pêl-droed gan redeg at gôl y gwrthwynebwyr. ",Mae rygbi'r undeb yn fath o ba chwaraeon?,"pêl-droed neu gnapan, pêl-droed, bêl-droed neu gnapan, bêl-droed",1,1,noun_phrase,chwaraeon cyswllt llawn,0,Pêl-droed neu cnapan.,1,Pêl-droed.,1
"Un or chwaraeon cyswllt llawn ydy rygbi'r undeb. Math o bêl-droed neu gnapan ydyw a ddechreuodd yn Lloegr ar ddechrau'r 19eg ganrif. Un o reolau rygbi yw bod hawl rhedeg gyda'r bêl yn eich dwylo. Chwaraeir y gêm gan ddefnyddio pêl hirgrwn, ar ddarn laswellt gan amlaf sydd yn 100m o hyd a 70m o led. Ar bob pen, ceir dwy gôl siâp y lythyren H.
Dywedir yn aml mai William Webb Ellis a grëodd y gêm o redeg tra'n dal y bêl ym 1823 yn Ysgol Rugby pan dywedir iddo ddal y bêl tra'n chwarae pêl-droed gan redeg at gôl y gwrthwynebwyr. ",Beth digwyddodd ar ddechrau'r 20eg ganrif?,DIM YN Y DARN TESTUN,0,0,none,DIM YN Y DARN TESTUN,1,Daeth rygbi i'r Gymru.,0,DIM YN Y DARN TESTUN,1
"Un or chwaraeon cyswllt llawn ydy rygbi'r undeb. Math o bêl-droed neu gnapan ydyw a ddechreuodd yn Lloegr ar ddechrau'r 19eg ganrif. Un o reolau rygbi yw bod hawl rhedeg gyda'r bêl yn eich dwylo. Chwaraeir y gêm gan ddefnyddio pêl hirgrwn, ar ddarn laswellt gan amlaf sydd yn 100m o hyd a 70m o led. Ar bob pen, ceir dwy gôl siâp y lythyren H.
Dywedir yn aml mai William Webb Ellis a grëodd y gêm o redeg tra'n dal y bêl ym 1823 yn Ysgol Rugby pan dywedir iddo ddal y bêl tra'n chwarae pêl-droed gan redeg at gôl y gwrthwynebwyr. ",Chwaraeir y gêm gan ddefnyddio pêl gron. Gwir neu gau?,gau,0,1,true_false,Gau,1,GWIR.,0,Gwir,0
"Gwladwriaeth yw Teyrnas Unedig Prydain Fawr a Gogledd Iwerddon neu'r Deyrnas Unedig (DU) (hefyd Y Deyrnas Gyfunol (DG)), sy'n cynnwys gwledydd Prydain Fawr (Lloegr, Yr Alban, Cymru) a'r rhanbarth Gogledd Iwerddon. Fe'i lleolir i ogledd-orllewin cyfandir Ewrop ac fe'i hamgylchynir gan Fôr y Gogledd, Môr Udd a Môr Iwerydd. Sefydlwyd yr enw presennol ar 12 Ebrill 1927 ar ôl i Weriniaeth Iwerddon ddod yn annibynol. Mae'r llefydd canlynol o dan sofraniaeth y Deyrnas Unedig, ond heb fod yn rhan o'r brif uned gyfansoddiadol; tiriogaethau dibynnol y Goron yn Ynysoedd y Sianel ac Ynys Manaw, a nifer o diriogaethau tramor.",Pa wledydd sy ym Mhrydain Fawr?,"Lloegr, Yr Alban, Cymru",1,1,location,"Lloegr, Yr Alban, Cymru",1,"Lloegr, Yr Alban, Cymru",1,"Lloegr, Yr Alban, Cymru",1
"Gwladwriaeth yw Teyrnas Unedig Prydain Fawr a Gogledd Iwerddon neu'r Deyrnas Unedig (DU) (hefyd Y Deyrnas Gyfunol (DG)), sy'n cynnwys gwledydd Prydain Fawr (Lloegr, Yr Alban, Cymru) a'r rhanbarth Gogledd Iwerddon. Fe'i lleolir i ogledd-orllewin cyfandir Ewrop ac fe'i hamgylchynir gan Fôr y Gogledd, Môr Udd a Môr Iwerydd. Sefydlwyd yr enw presennol ar 12 Ebrill 1927 ar ôl i Weriniaeth Iwerddon ddod yn annibynol. Mae'r llefydd canlynol o dan sofraniaeth y Deyrnas Unedig, ond heb fod yn rhan o'r brif uned gyfansoddiadol; tiriogaethau dibynnol y Goron yn Ynysoedd y Sianel ac Ynys Manaw, a nifer o diriogaethau tramor.",Pryd sefydlwyd enw presennol y wlad?,12 Ebrill 1927,0,1,date,12 Ebrill 1927,1,12 Ebrill 1927,1,12 Ebrill 1927,1
"Gwladwriaeth yw Teyrnas Unedig Prydain Fawr a Gogledd Iwerddon neu'r Deyrnas Unedig (DU) (hefyd Y Deyrnas Gyfunol (DG)), sy'n cynnwys gwledydd Prydain Fawr (Lloegr, Yr Alban, Cymru) a'r rhanbarth Gogledd Iwerddon. Fe'i lleolir i ogledd-orllewin cyfandir Ewrop ac fe'i hamgylchynir gan Fôr y Gogledd, Môr Udd a Môr Iwerydd. Sefydlwyd yr enw presennol ar 12 Ebrill 1927 ar ôl i Weriniaeth Iwerddon ddod yn annibynol. Mae'r llefydd canlynol o dan sofraniaeth y Deyrnas Unedig, ond heb fod yn rhan o'r brif uned gyfansoddiadol; tiriogaethau dibynnol y Goron yn Ynysoedd y Sianel ac Ynys Manaw, a nifer o diriogaethau tramor.",Ble mae'r tiriogaethau dibynnol y Goron?,Ynysoedd y Sianel ac Ynys Manaw,0,1,location,Yn Ynysoedd y Sianel ac Ynys Manaw,1,Ynysoedd y Sianel ac Ynys Manaw,1,DIM YN Y DARN TESTUN,0
"Gwladwriaeth yw Teyrnas Unedig Prydain Fawr a Gogledd Iwerddon neu'r Deyrnas Unedig (DU) (hefyd Y Deyrnas Gyfunol (DG)), sy'n cynnwys gwledydd Prydain Fawr (Lloegr, Yr Alban, Cymru) a'r rhanbarth Gogledd Iwerddon. Fe'i lleolir i ogledd-orllewin cyfandir Ewrop ac fe'i hamgylchynir gan Fôr y Gogledd, Môr Udd a Môr Iwerydd. Sefydlwyd yr enw presennol ar 12 Ebrill 1927 ar ôl i Weriniaeth Iwerddon ddod yn annibynol. Mae'r llefydd canlynol o dan sofraniaeth y Deyrnas Unedig, ond heb fod yn rhan o'r brif uned gyfansoddiadol; tiriogaethau dibynnol y Goron yn Ynysoedd y Sianel ac Ynys Manaw, a nifer o diriogaethau tramor.",Gan beth y mae'r Deyrnas Unedig wedi'i hamgylchynu?,"Môr y Gogledd, Môr Udd a Môr Iwerydd",0,1,location,"Môr y Gogledd, Môr Udd a Môr Iwerydd",1,"Môr y Gogledd, Môr Udd a Môr Iwerydd.",1,"Môr y Gogledd, Môr Udd a Môr Iwerydd.",1
"Gwladwriaeth yw Teyrnas Unedig Prydain Fawr a Gogledd Iwerddon neu'r Deyrnas Unedig (DU) (hefyd Y Deyrnas Gyfunol (DG)), sy'n cynnwys gwledydd Prydain Fawr (Lloegr, Yr Alban, Cymru) a'r rhanbarth Gogledd Iwerddon. Fe'i lleolir i ogledd-orllewin cyfandir Ewrop ac fe'i hamgylchynir gan Fôr y Gogledd, Môr Udd a Môr Iwerydd. Sefydlwyd yr enw presennol ar 12 Ebrill 1927 ar ôl i Weriniaeth Iwerddon ddod yn annibynol. Mae'r llefydd canlynol o dan sofraniaeth y Deyrnas Unedig, ond heb fod yn rhan o'r brif uned gyfansoddiadol; tiriogaethau dibynnol y Goron yn Ynysoedd y Sianel ac Ynys Manaw, a nifer o diriogaethau tramor.",Ble mae Gweriniaeth Iwerddon?,DIM YN Y DARN TESTUN,0,0,none,DIM YN Y DARN TESTUN,1,Iwerddon,0,DIM YN Y DARN TESTUN,1
"Dinas Barcelona (dyweder ""Barselona"") yw prifddinas cymuned ymreolaethol Catalwnia a thalaith Barcelona yng ngogledd-ddwyrain Sbaen, Saif ar lan Môr y Canoldir, rhyw 120 km o'r ffin a Ffrainc. Mae wedi'i leoli rhwng aberoedd afonydd Llobregat a Besòs, a'i ffin orllewinol yw mynyddoedd Serra de Collserola sydd a'i gopa uchaf yn 512 metr (1,680 tr) o uchter.
Gyda phoblogaeth o 1,593,075, Barcelona yw'r ail ddinas fwyaf yn Sbaen o ran maint, a'r 11eg o ran maint yn yr Undeb Ewropeaidd (disgwylir fod y ddegfed o ran maint ar ôl Brexit). Mae poblogaeth Ardal Ddinesig Barcelona yn 4.7 miliwn.[1]",Beth yw prifddinas talaith Barcelona?,"Dinas Barcelona, Barcelona",1,1,location,Dinas Barcelona,1,Dinas Barcelona,1,DIM YN Y DARN TESTUN,0
"Dinas Barcelona (dyweder ""Barselona"") yw prifddinas cymuned ymreolaethol Catalwnia a thalaith Barcelona yng ngogledd-ddwyrain Sbaen, Saif ar lan Môr y Canoldir, rhyw 120 km o'r ffin a Ffrainc. Mae wedi'i leoli rhwng aberoedd afonydd Llobregat a Besòs, a'i ffin orllewinol yw mynyddoedd Serra de Collserola sydd a'i gopa uchaf yn 512 metr (1,680 tr) o uchter.
Gyda phoblogaeth o 1,593,075, Barcelona yw'r ail ddinas fwyaf yn Sbaen o ran maint, a'r 11eg o ran maint yn yr Undeb Ewropeaidd (disgwylir fod y ddegfed o ran maint ar ôl Brexit). Mae poblogaeth Ardal Ddinesig Barcelona yn 4.7 miliwn.[1]",Beth yw poblogaeth dinas Barcelona?,"1,593,075",1,1,other_numeric,"1,593,075",1,"1,593,075",1,"1,593,075",1
"Dinas Barcelona (dyweder ""Barselona"") yw prifddinas cymuned ymreolaethol Catalwnia a thalaith Barcelona yng ngogledd-ddwyrain Sbaen, Saif ar lan Môr y Canoldir, rhyw 120 km o'r ffin a Ffrainc. Mae wedi'i leoli rhwng aberoedd afonydd Llobregat a Besòs, a'i ffin orllewinol yw mynyddoedd Serra de Collserola sydd a'i gopa uchaf yn 512 metr (1,680 tr) o uchter.
Gyda phoblogaeth o 1,593,075, Barcelona yw'r ail ddinas fwyaf yn Sbaen o ran maint, a'r 11eg o ran maint yn yr Undeb Ewropeaidd (disgwylir fod y ddegfed o ran maint ar ôl Brexit). Mae poblogaeth Ardal Ddinesig Barcelona yn 4.7 miliwn.[1]",Mae Barcelona yn cael ei leoli rhwng aberoedd pa afonydd?,Llobregat a Besòs,0,1,location,Llobregat a Besòs,1,Llobregat a Besòs,1,Llobregat a Besòs,1
"Dinas Barcelona (dyweder ""Barselona"") yw prifddinas cymuned ymreolaethol Catalwnia a thalaith Barcelona yng ngogledd-ddwyrain Sbaen, Saif ar lan Môr y Canoldir, rhyw 120 km o'r ffin a Ffrainc. Mae wedi'i leoli rhwng aberoedd afonydd Llobregat a Besòs, a'i ffin orllewinol yw mynyddoedd Serra de Collserola sydd a'i gopa uchaf yn 512 metr (1,680 tr) o uchter.
Gyda phoblogaeth o 1,593,075, Barcelona yw'r ail ddinas fwyaf yn Sbaen o ran maint, a'r 11eg o ran maint yn yr Undeb Ewropeaidd (disgwylir fod y ddegfed o ran maint ar ôl Brexit). Mae poblogaeth Ardal Ddinesig Barcelona yn 4.7 miliwn.[1]",Mae Barcelona yn fwy na Paris. Gwir neu gau?,DIM YN Y DARN TESTUN,0,0,none,DIM YN Y DARN TESTUN,1,CAU,0,Gau,0
"Dinas Barcelona (dyweder ""Barselona"") yw prifddinas cymuned ymreolaethol Catalwnia a thalaith Barcelona yng ngogledd-ddwyrain Sbaen, Saif ar lan Môr y Canoldir, rhyw 120 km o'r ffin a Ffrainc. Mae wedi'i leoli rhwng aberoedd afonydd Llobregat a Besòs, a'i ffin orllewinol yw mynyddoedd Serra de Collserola sydd a'i gopa uchaf yn 512 metr (1,680 tr) o uchter.
Gyda phoblogaeth o 1,593,075, Barcelona yw'r ail ddinas fwyaf yn Sbaen o ran maint, a'r 11eg o ran maint yn yr Undeb Ewropeaidd (disgwylir fod y ddegfed o ran maint ar ôl Brexit). Mae poblogaeth Ardal Ddinesig Barcelona yn 4.7 miliwn.[1]",Beth yw ffin orllewinol Barcelona?,mynyddoedd Serra de Collserola,0,1,location,mynyddoedd Serra de Collserola,1,Mynyddoedd Serra de Collserola,1,Mynyddoedd Serra de Collserola,1
